NS	CS	US	US_sound	condition	trial	valence
A24_lightswitch.jpg	19_bag.jpg	negative_16_foot.jpeg	negative_16_foot.wav	1	1	1
A21_cuttingboard.jpg	39_pingpongpaddle.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	1	2	1
A17_clock01a.jpg	25_headphones.jpg	negative_06_drown.jpeg	negative_06_drown.wav	1	3	1
A06_birdie.jpg	20_racket.jpg	negative_14_hook.jpeg	negative_14_hook.wav	1	4	1
A15_chalkboarderaser01.jpg	28_bulb.jpg	negative_01_vomit.jpeg	negative_01_vomit.wav	2	1	1
A08_bracelet01.jpg	03_barbecue.jpg	negative_20_cat.jpeg	negative_20_cat.wav	2	2	1
A19_comb02a.jpg	17_spaghetti.jpg	negative_03_dog.jpeg	negative_03_dog.wav	2	3	1
A33_flask.jpg	36_sandwich.jpg	negative_09_shot.jpeg	negative_09_shot.wav	2	4	1
A01_armchair01.jpg	06_guitar.jpg	negative_11_feces.jpeg	negative_11_feces.wav	3	1	1
A37_mask.jpg	15_parkbench.jpg	negative_08_car.jpeg	negative_08_car.wav	3	2	1
A31_filmnegative.jpg	35_wateringcan.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	3	3	1
A35_makeupbrush.jpg	30_notebook.jpg	negative_15_plane.jpeg	negative_15_plane.wav	3	4	1
A10_calculator01.jpg	05_leaf.jpg	negative_02_baby.jpeg	negative_02_baby.wav	4	1	1
A30_exercisebench.jpg	37_cup.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	4	2	1
A22_dice05a.jpg	23_coffeepot.jpg	negative_05_surgery.jpeg	negative_05_surgery.wav	4	3	1
A20_cooler01.jpg	18_binoculars.jpg	negative_04_burns.jpeg	negative_04_burns.wav	4	4	1
A25_dustpan.jpg	27_basket.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	5	1	1
A05_bikehelmet.jpg	04_beer.jpg	negative_10_leg.jpeg	negative_10_leg.wav	5	2	1
A39_glasses01a.jpg	40_toiletpaper.jpg	negative_12_eye.jpeg	negative_12_eye.wav	5	3	1
A36_fryingpan02a.jpg	12_goose.jpg	negative_19_whip.jpeg	negative_19_whip.wav	5	4	1
A13_cardboardbox.jpg	29_magnifier.jpg	neutral_14_pulley.jpeg	neutral_14_pulley.wav	6	1	2
A14_chalkboard01.jpg	11_teddy.jpg	neutral_07_student.jpeg	neutral_07_student.wav	6	2	2
A11_camera03a.jpg	32_printer.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	6	3	2
A29_envelope03a.jpg	10_compass.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	6	4	2
A27_egg01a.jpg	24_mouse.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	7	1	2
A34_flyswatter.jpg	33_speaker.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	7	2	2
A07_boot02b.jpg	01_brush.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	7	3	2
A28_electricrazor.jpg	16_spatula.jpg	neutral_08_car.jpeg	neutral_08_car.wav	7	4	2
A16_champagne.jpg	26_lamp.jpg	neutral_11_soup.jpeg	neutral_11_soup.wav	8	1	2
A23_dishsoap.jpg	13_rollator.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	8	2	2
A12_candle08b.jpg	02_chain.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	8	3	2
A09_branch02.jpg	14_workbench.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	8	4	2
A26_dvdcase02b.jpg	31_pen.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	9	1	2
A03_banana01.jpg	07_tree.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	9	2	2
A04_baseball01b.jpg	22_clothespin.jpg	neutral_01_egg.jpeg	neutral_01_egg.wav	9	3	2
A02_avocado02.jpg	21_bowl.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	9	4	2
A40_globe.jpg	38_watch.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	10	1	2
A32_flashlight02b.jpg	09_woodencrate.jpg	neutral_19_market.jpeg	neutral_19_market.wav	10	2	2
A18_coin01b.jpg	08_gem.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	10	3	2
A38_garlic01a.jpg	34_umbrella.jpg	neutral_15_plane.jpeg	neutral_15_plane.wav	10	4	2
