CS	US	US_sound	condition	trial	episode_nr	valence
16_spatula.jpg	negative_09_shot.jpeg	negative_09_shot.wav	1	1	1	1
30_notebook.jpg	negative_04_burns.jpeg	negative_04_burns.wav	1	2	2	1
25_headphones.jpg	negative_05_surgery.jpeg	negative_05_surgery.wav	1	3	3	1
27_basket.jpg	negative_12_eye.jpeg	negative_12_eye.wav	1	4	4	1
09_woodencrate.jpg	negative_10_leg.jpeg	negative_10_leg.wav	1	5	5	1
29_magnifier.jpg	negative_15_plane.jpeg	negative_15_plane.wav	1	6	6	1
15_parkbench.jpg	negative_08_car.jpeg	negative_08_car.wav	2	1	7	1
17_spaghetti.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	2	2	8	1
10_compass.jpg	negative_02_baby.jpeg	negative_02_baby.wav	2	3	9	1
13_rollator.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	2	4	10	1
35_wateringcan.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	2	5	11	1
23_coffeepot.jpg	negative_11_feces.jpeg	negative_11_feces.wav	2	6	12	1
20_racket.jpg	negative_06_drown.jpeg	negative_06_drown.wav	3	1	13	1
03_barbecue.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	3	2	14	1
18_binoculars.jpg	negative_03_dog.jpeg	negative_03_dog.wav	3	3	15	1
21_bowl.jpg	negative_16_foot.jpeg	negative_16_foot.wav	3	4	16	1
22_clothespin.jpg	negative_19_whip.jpeg	negative_19_whip.wav	3	5	17	1
08_gem.jpg	negative_20_cat.jpeg	negative_20_cat.wav	3	6	18	1
34_umbrella.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	4	1	19	2
07_tree.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	4	2	20	2
04_beer.jpg	neutral_15_plane.jpeg	neutral_15_plane.wav	4	3	21	2
12_goose.jpg	neutral_07_student.jpeg	neutral_07_student.wav	4	4	22	2
32_printer.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	4	5	23	2
14_workbench.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	4	6	24	2
11_teddy.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	5	1	25	2
01_brush.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	5	2	26	2
33_speaker.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	5	3	27	2
19_bag.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	5	4	28	2
02_chain.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	5	5	29	2
05_leaf.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	5	6	30	2
28_bulb.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	6	1	31	2
24_mouse.jpg	neutral_19_market.jpeg	neutral_19_market.wav	6	2	32	2
36_sandwich.jpg	neutral_08_car.jpeg	neutral_08_car.wav	6	3	33	2
26_lamp.jpg	neutral_11_soup.jpeg	neutral_11_soup.wav	6	4	34	2
31_pen.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	6	5	35	2
06_guitar.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	6	6	36	2
