context	CS	US	US_sound	condition	trial	valence	epsiode_nr
ContextA11.png	32_printer.png	negative_11_feces.png	negative_11_feces.wav	1	1	1	1
ContextA29.png	33_speaker.png	negative_08_car.png	negative_08_car.wav	1	2	1	2
ContextA37.png	34_umbrella.png	negative_15_plane.png	negative_15_plane.wav	1	3	1	3
ContextA45.png	37_cup.png	negative_18_chainsaw.png	negative_18_chainsaw.wav	1	4	1	4
ContextA02.png	13_rollator.png	negative_03_dog.png	negative_03_dog.wav	2	1	1	5
ContextA16.png	17_spaghetti.png	negative_01_vomit.png	negative_01_vomit.wav	2	2	1	6
ContextA41.png	05_leaf.png	negative_17_hanged.png	negative_17_hanged.wav	2	3	1	7
ContextA17.png	18_binoculars.png	negative_02_baby.png	negative_02_baby.wav	2	4	1	8
ContextA52.png	19_bag.png	negative_19_whip.png	negative_19_whip.wav	3	1	1	9
ContextA21.png	20_racket.png	negative_13_mouth.png	negative_13_mouth.wav	3	2	1	10
ContextA28.png	29_magnifier.png	negative_07_abuse.png	negative_07_abuse.wav	3	3	1	11
ContextA35.png	07_tree.png	negative_10_leg.png	negative_10_leg.wav	3	4	1	12
ContextA07.png	27_basket.png	negative_06_drown.png	negative_06_drown.wav	4	1	1	13
ContextA27.png	06_guitar.png	negative_05_surgery.png	negative_05_surgery.wav	4	2	1	14
ContextA55.png	38_watch.png	negative_12_eye.png	negative_12_eye.wav	4	3	1	15
ContextA10.png	28_bulb.png	negative_14_hook.png	negative_14_hook.wav	4	4	1	16
ContextA20.png	09_woodencrate.png	neutral_12_slice.png	neutral_12_slice.wav	6	1	2	21
ContextA38.png	25_headphones.png	neutral_14_pulley.png	neutral_14_pulley.wav	6	2	2	22
ContextA05.png	11_teddy.png	neutral_07_student.png	neutral_07_student.wav	6	3	2	23
ContextA03.png	14_workbench.png	neutral_18_hammer.png	neutral_18_hammer.wav	6	4	2	24
ContextA39.png	12_goose.png	neutral_17_bike.png	neutral_17_bike.wav	7	1	2	25
ContextA06.png	22_clothespin.png	neutral_11_soup.png	neutral_11_soup.wav	7	2	2	26
ContextA51.png	35_wateringcan.png	neutral_08_car.png	neutral_08_car.wav	7	3	2	27
ContextA33.png	31_pen.png	neutral_13_toothbrush.png	neutral_13_toothbrush.wav	7	4	2	28
ContextA09.png	24_mouse.png	neutral_06_swim.png	neutral_06_swim.wav	8	1	2	29
ContextA19.png	30_notebook.png	neutral_01_egg.png	neutral_01_egg.wav	8	2	2	30
ContextA01.png	04_beer.png	neutral_02_baby.png	neutral_02_baby.wav	8	3	2	31
ContextA40.png	15_parkbench.png	neutral_10_walk.png	neutral_10_walk.wav	8	4	2	32
ContextA04.png	40_toiletpaper.png	neutral_04_lighter.png	neutral_04_lighter.wav	9	1	2	33
ContextA54.png	01_brush.png	neutral_20_cat.png	neutral_20_cat.wav	9	2	2	34
ContextA23.png	39_pingpongpaddle.png	neutral_05_shave.png	neutral_05_shave.wav	9	3	2	35
ContextA56.png	21_bowl.png	neutral_15_plane.png	neutral_15_plane.wav	9	4	2	36
