CS	US	US_sound	condition	trial	episode_nr	valence
33_speaker.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	1	1	1	1
26_lamp.jpg	negative_19_whip.jpeg	negative_19_whip.wav	1	2	2	1
23_coffeepot.jpg	negative_02_baby.jpeg	negative_02_baby.wav	1	3	3	1
03_barbecue.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	1	4	4	1
01_brush.jpg	negative_08_car.jpeg	negative_08_car.wav	1	5	5	1
27_basket.jpg	negative_15_plane.jpeg	negative_15_plane.wav	1	6	6	1
19_bag.jpg	negative_11_feces.jpeg	negative_11_feces.wav	2	1	7	1
02_chain.jpg	negative_12_eye.jpeg	negative_12_eye.wav	2	2	8	1
18_binoculars.jpg	negative_06_drown.jpeg	negative_06_drown.wav	2	3	9	1
11_teddy.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	2	4	10	1
32_printer.jpg	negative_20_cat.jpeg	negative_20_cat.wav	2	5	11	1
15_parkbench.jpg	negative_10_leg.jpeg	negative_10_leg.wav	2	6	12	1
06_guitar.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	4	1	19	2
14_workbench.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	4	2	20	2
10_compass.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	4	3	21	2
35_wateringcan.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	4	4	22	2
08_gem.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	4	5	23	2
22_clothespin.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	4	6	24	2
17_spaghetti.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	5	1	25	2
20_racket.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	5	2	26	2
07_tree.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	5	3	27	2
30_notebook.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	5	4	28	2
31_pen.jpg	neutral_19_market.jpeg	neutral_19_market.wav	5	5	29	2
24_mouse.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	5	6	30	2
